	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
		(0.12)	(0.13)	(0.23)		(0.10)	(0.11)	(0.21)		(0.097)	(0.11)	(0.15)
div3		0.17	0.26$^c$	0.37		0.048	0.058	0.46$^b$		0.034	0.038	0.37$^b$
		(0.13)	(0.14)	(0.23)		(0.10)	(0.11)	(0.23)		(0.098)	(0.11)	(0.16)
div4		0.13	0.16	0.28		-0.016	-0.044	0.35		0.0011	-0.024	0.32$^c$
		(0.16)	(0.16)	(0.24)		(0.11)	(0.12)	(0.23)		(0.11)	(0.12)	(0.17)
div5		0.018	-0.00044	0.24		-0.070	-0.14	0.28		-0.0052	-0.11	0.32$^b$
		(0.16)	(0.16)	(0.18)		(0.12)	(0.13)	(0.19)		(0.12)	(0.14)	(0.14)
div6		-0.099	-0.10	0.086		-0.11	-0.17	0.22		-0.047	-0.13	0.28$^c$
		(0.16)	(0.17)	(0.20)		(0.12)	(0.13)	(0.18)		(0.12)	(0.14)	(0.14)
div7		0.15	0.21	0.31		-0.20	-0.17	0.12		-0.13	-0.11	0.20
		(0.16)	(0.18)	(0.20)		(0.14)	(0.16)	(0.19)		(0.14)	(0.16)	(0.15)
div8		-0.087	-0.083	-0.071		-0.23	-0.24	-0.062		-0.27$^c$	-0.26	0.011
		(0.18)	(0.21)	(0.17)		(0.15)	(0.17)	(0.17)		(0.15)	(0.19)	(0.13)
div9		-0.12	-0.044			-0.31$^c$	-0.20			-0.33$^c$	-0.21	
		(0.21)	(0.23)			(0.17)	(0.18)			(0.18)	(0.20)	
div1				0.46				0.54$^b$				0.34$^b$
				(0.33)				(0.26)				(0.17)
o.div9				-				-				-
												
l_pop80							0.72				0.98$^c$	
							(0.46)				(0.56)	
l_pop90											-0.20	
											(0.57)	
Constant	2.88$^a$	4.77$^a$	10.5$^a$	6.15$^b$	3.38$^a$	5.03$^a$	10.8$^a$	8.25$^a$	3.51$^a$	5.00$^a$	11.1$^a$	7.02$^a$
	(0.56)	(0.86)	(3.78)	(2.73)	(0.45)	(0.70)	(3.33)	(1.85)	(0.46)	(0.71)	(3.13)	(1.74)
												
Observations	228	228	228	228	228	228	228	228	228	228	228	228
R-squared	0.93	0.94	0.95	0.93	0.94	0.95	0.96	0.93	0.94	0.96	0.96	0.95
Overid				0.23				0.69				0.99
First stage F				7.17				5.41				5.73
Robust standard errors in parentheses												
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1												
