	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
									(0.14)	(0.25)
_Imsa_1520									0.24$^b$	-0.11
									(0.11)	(0.19)
_Imsa_1540									0.30	0.41
									(0.34)	(0.32)
_Imsa_1560									0.14	0.76$^a$
									(0.12)	(0.26)
_Imsa_1580									0.26$^b$	0.15
									(0.12)	(0.26)
_Imsa_1602									0.14	-0.084
									(0.11)	(0.37)
_Imsa_1642									0.11	0.24$^b$
									(0.10)	(0.10)
_Imsa_1660									0.42$^a$	0.73$^b$
									(0.11)	(0.29)
_Imsa_1692									0.0092	0.037
									(0.11)	(0.16)
_Imsa_1720									0.27$^b$	0.50$^a$
									(0.11)	(0.17)
_Imsa_1740									0.17$^c$	0.77$^a$
									(0.10)	(0.19)
_Imsa_1760									0.31$^a$	0.36$^b$
									(0.11)	(0.15)
_Imsa_1800									0.24$^b$	0.53$^c$
									(0.10)	(0.28)
_Imsa_1840									0.15	0.60$^a$
									(0.12)	(0.14)
_Imsa_1880									0.28$^a$	-0.12
									(0.10)	(0.22)
_Imsa_1922									0.19$^c$	0.30
									(0.11)	(0.29)
_Imsa_1960									0.13	-0.76
									(0.13)	(0.48)
_Imsa_2000									0.029	0.31$^a$
									(0.12)	(0.12)
_Imsa_2020									0.32$^a$	1.52$^a$
									(0.10)	(0.50)
_Imsa_2030									0.35$^b$	0.12
									(0.15)	(0.18)
_Imsa_2040									0.23$^b$	-0.52
									(0.11)	(0.34)
_Imsa_2082									0.12	0.48
									(0.10)	(0.31)
_Imsa_2120									0.26$^b$	-0.21
									(0.11)	(0.35)
_Imsa_2162									0.10	-0.22
									(0.12)	(0.37)
_Imsa_2240									0.23	0.28$^c$
									(0.16)	(0.17)
_Imsa_2290									0.39$^b$	0.40$^b$
									(0.18)	(0.16)
_Imsa_2320									0.20	0.21$^c$
									(0.13)	(0.12)
_Imsa_2330									0.26$^c$	-0.66$^c$
									(0.13)	(0.36)
_Imsa_2360									0.19$^c$	-0.24
									(0.10)	(0.15)
_Imsa_2400									0.13	0.38$^a$
									(0.10)	(0.14)
_Imsa_2440									0.38$^a$	0.57$^a$
									(0.12)	(0.091)
_Imsa_2520									0.28$^a$	0.42$^b$
									(0.10)	(0.18)
_Imsa_2560									0.28$^b$	0.94$^a$
									(0.13)	(0.35)
_Imsa_2620									0.27$^b$	0.70$^a$
									(0.11)	(0.14)
_Imsa_2655									0.39$^a$	0.40$^c$
									(0.14)	(0.21)
_Imsa_2670									0.29$^a$	0.53$^b$
									(0.11)	(0.24)
_Imsa_2700									0.66$^a$	1.20$^a$
									(0.16)	(0.19)
_Imsa_2710									0.65$^a$	1.34$^a$
									(0.24)	(0.30)
_Imsa_2720									0.27$^b$	0.32
									(0.11)	(0.24)
_Imsa_2750									0.29$^a$	0.52$^a$
									(0.10)	(0.11)
_Imsa_2760									0.38$^b$	0.40$^b$
									(0.17)	(0.19)
_Imsa_2840									0.29$^b$	-0.0014
									(0.12)	(0.18)
_Imsa_2880									0.30$^b$	1.00$^b$
									(0.14)	(0.39)
_Imsa_2900									0.012	1.08$^a$
									(0.12)	(0.36)
_Imsa_2975									0.21	0.37
									(0.15)	(0.25)
_Imsa_2985									0.30$^a$	0.79$^a$
									(0.11)	(0.19)
_Imsa_2995									0.21	0.16
									(0.18)	(0.19)
_Imsa_3000									0.29$^c$	0.47$^a$
									(0.17)	(0.17)
_Imsa_3040									0.11	0.29$^b$
									(0.10)	(0.13)
_Imsa_3080									0.39$^b$	-0.27
									(0.16)	(0.33)
_Imsa_3120									0.083	0.50$^a$
									(0.11)	(0.16)
_Imsa_3160									0.28$^b$	0.019
									(0.14)	(0.14)
_Imsa_3240									0.30$^a$	0.42$^a$
									(0.11)	(0.068)
_Imsa_3283									0.42	0.45
									(0.26)	(0.33)
_Imsa_3285									0.33$^a$	1.82$^a$
									(0.10)	(0.64)
_Imsa_3290									0.33$^a$	-0.018
									(0.12)	(0.20)
_Imsa_3362									-0.042	-0.28
									(0.17)	(0.46)
_Imsa_3400									0.22$^b$	0.019
									(0.10)	(0.15)
_Imsa_3440									0.53$^b$	0.33
									(0.21)	(0.22)
_Imsa_3480									0.25	0.31$^c$
									(0.16)	(0.18)
_Imsa_3500									0.25$^b$	0.57$^b$
									(0.10)	(0.26)
_Imsa_3520									0.23$^c$	0.45$^a$
									(0.13)	(0.12)
_Imsa_3560									0.24$^b$	1.11$^a$
									(0.11)	(0.22)
_Imsa_3580									0.31$^a$	1.24$^a$
									(0.10)	(0.46)
_Imsa_3600									0.10	0.80$^a$
									(0.11)	(0.22)
_Imsa_3610									0.059	0.19
									(0.13)	(0.24)
_Imsa_3620									0.18	-0.62$^c$
									(0.12)	(0.33)
_Imsa_3660									0.26$^b$	0.29
									(0.12)	(0.27)
_Imsa_3680									0.093	-0.33$^c$
									(0.12)	(0.18)
_Imsa_3710									0.30$^a$	0.73$^c$
									(0.10)	(0.39)
_Imsa_3720									0.17	0.62$^a$
									(0.10)	(0.12)
_Imsa_3760									0.12	0.38$^b$
									(0.11)	(0.18)
_Imsa_3810									0.28$^a$	0.91$^a$
									(0.11)	(0.33)
_Imsa_3840									0.14	0.86$^a$
									(0.13)	(0.28)
_Imsa_3870									0.26$^c$	0.25$^b$
									(0.14)	(0.12)
_Imsa_3880									0.013	-0.45$^b$
									(0.22)	(0.21)
_Imsa_3920									0.20$^c$	0.040
									(0.12)	(0.17)
_Imsa_3960									0.17	0.14
									(0.11)	(0.13)
_Imsa_3980									0.14	0.68$^a$
									(0.11)	(0.25)
_Imsa_4000									0.25$^c$	-0.67$^b$
									(0.13)	(0.33)
_Imsa_4040									0.18$^c$	-0.18
									(0.11)	(0.35)
_Imsa_4080									0.46$^b$	0.73$^c$
									(0.20)	(0.41)
_Imsa_4100									0.30$^b$	0.80$^a$
									(0.12)	(0.27)
_Imsa_4120									0.55$^a$	0.47
									(0.11)	(0.30)
_Imsa_4150									0.33$^a$	1.26$^a$
									(0.10)	(0.29)
_Imsa_4200									0.11	0.66$^b$
									(0.11)	(0.28)
_Imsa_4280									0.039	0.15
									(0.11)	(0.10)
_Imsa_4320									0.093	0.18
									(0.17)	(0.15)
_Imsa_4360									0.26$^b$	0.31
									(0.13)	(0.23)
_Imsa_4400									0.19	0.91$^a$
									(0.15)	(0.24)
_Imsa_4420									0.18	0.030
									(0.17)	(0.15)
_Imsa_4472									0.14	0.24
									(0.11)	(0.29)
_Imsa_4520									0.16	0.51$^a$
									(0.11)	(0.11)
_Imsa_4600									0.22	0.94$^a$
									(0.35)	(0.35)
_Imsa_4680									0.10	-0.079
									(0.11)	(0.10)
_Imsa_4720									0.29$^b$	0.40
									(0.11)	(0.30)
_Imsa_4800									0.013	0.20
									(0.12)	(0.18)
_Imsa_4890									0.21$^b$	0.32$^a$
									(0.10)	(0.095)
_Imsa_4900									0.44$^a$	1.00$^a$
									(0.11)	(0.16)
_Imsa_4920									0.15	0.79$^a$
									(0.11)	(0.21)
_Imsa_4940									0.32$^a$	0.042
									(0.10)	(0.11)
_Imsa_4992									-0.062	0.25
									(0.26)	(0.24)
_Imsa_5082									0.15	0.080
									(0.13)	(0.27)
_Imsa_5120									0.24$^b$	-0.41
									(0.10)	(0.52)
_Imsa_5140									0.23$^b$	0.56$^a$
									(0.10)	(0.16)
_Imsa_5160									0.17$^c$	0.91$^a$
									(0.10)	(0.30)
_Imsa_5170									0.100	-0.39
									(0.18)	(0.27)
_Imsa_5200									0.22	1.04$^a$
									(0.16)	(0.32)
_Imsa_5240									0.23$^c$	0.98$^a$
									(0.14)	(0.26)
_Imsa_5280									0.38$^a$	0.84$^a$
									(0.14)	(0.21)
_Imsa_5360									0.22$^b$	0.54$^a$
									(0.10)	(0.11)
_Imsa_5483									0.079	-0.24
									(0.15)	(0.46)
_Imsa_5560									0.15	0.63$^a$
									(0.11)	(0.13)
_Imsa_5602									0.087	0.18
									(0.10)	(0.19)
_Imsa_5720									0.058	-0.0065
									(0.11)	(0.13)
_Imsa_5790									0.038	1.04$^b$
									(0.14)	(0.52)
_Imsa_5800									-0.079	-0.36
									(0.31)	(0.49)
_Imsa_5880									0.088	0.69$^a$
									(0.11)	(0.15)
_Imsa_5920									0.18$^c$	0.56$^a$
									(0.10)	(0.17)
_Imsa_5960									0.054	0.70$^a$
									(0.11)	(0.20)
_Imsa_6020									0.19	-0.15
									(0.12)	(0.15)
_Imsa_6080									0.26$^b$	0.50$^a$
									(0.11)	(0.15)
_Imsa_6120									0.082	-0.068
									(0.11)	(0.26)
_Imsa_6162									0.14	0.28$^b$
									(0.11)	(0.13)
_Imsa_6200									0.44$^a$	0.061
									(0.13)	(0.34)
_Imsa_6280									0.13	0.28$^a$
									(0.11)	(0.085)
_Imsa_6323									0.21$^c$	0.19
									(0.12)	(0.15)
_Imsa_6340									0.21$^c$	0.46$^a$
									(0.11)	(0.15)
_Imsa_6403									0.24$^b$	0.60$^a$
									(0.11)	(0.17)
_Imsa_6442									0.21$^c$	-0.0050
									(0.11)	(0.29)
_Imsa_6483									0.27$^b$	0.013
									(0.11)	(0.12)
_Imsa_6520									0.42$^a$	0.93$^a$
									(0.13)	(0.24)
_Imsa_6560									0.17	0.16
									(0.11)	(0.11)
_Imsa_6580									0.50$^a$	0.58$^a$
									(0.14)	(0.12)
_Imsa_6640									0.27$^b$	0.35$^b$
									(0.12)	(0.16)
_Imsa_6660									0.11	0.62$^a$
									(0.10)	(0.17)
_Imsa_6680									0.13	-0.70$^b$
									(0.13)	(0.28)
_Imsa_6690									0.24	0.47$^a$
									(0.15)	(0.13)
_Imsa_6720									0.26$^b$	-0.43
									(0.12)	(0.55)
_Imsa_6740									0.33$^a$	-0.40
									(0.12)	(0.54)
_Imsa_6760									0.29$^b$	0.70$^a$
									(0.12)	(0.15)
_Imsa_6800									0.27$^b$	0.91$^a$
									(0.11)	(0.21)
_Imsa_6820									0.16	-0.17
									(0.18)	(0.45)
_Imsa_6840									0.19$^c$	0.37$^b$
									(0.10)	(0.17)
_Imsa_6880									0.12	-0.097
									(0.20)	(0.26)
_Imsa_6895									0.24$^c$	0.17
									(0.13)	(0.26)
_Imsa_6922									0.22$^b$	0.17
									(0.10)	(0.25)
_Imsa_6960									0.14	0.045
									(0.11)	(0.17)
_Imsa_6980									0.39$^a$	0.31$^a$
									(0.13)	(0.10)
_Imsa_7000									0.15	0.13
									(0.12)	(0.19)
_Imsa_7040									0.11	0.29$^a$
									(0.11)	(0.11)
_Imsa_7160									0.22$^b$	0.063
									(0.10)	(0.31)
_Imsa_7240									0.13	0.15
									(0.14)	(0.12)
_Imsa_7320									0.22$^b$	0.10
									(0.11)	(0.29)
_Imsa_7362									0.074	0.35
									(0.10)	(0.36)
_Imsa_7490									0.33$^a$	0.43
									(0.11)	(0.30)
_Imsa_7510									0.54$^a$	1.37$^a$
									(0.11)	(0.26)
_Imsa_7520									0.25$^b$	1.01$^a$
									(0.10)	(0.30)
_Imsa_7560									0.16	0.21
									(0.11)	(0.27)
_Imsa_7602									0.084	-0.33
									(0.12)	(0.44)
_Imsa_7610									0.18	0.35$^b$
									(0.16)	(0.14)
_Imsa_7620									0.51$^b$	-0.39
									(0.22)	(0.40)
_Imsa_7680									0.15	0.65$^a$
									(0.19)	(0.21)
_Imsa_7720									0.30$^b$	-0.059
									(0.12)	(0.17)
_Imsa_7760									0.26$^b$	0.22
									(0.12)	(0.15)
_Imsa_7800									0.39	0.70$^a$
									(0.24)	(0.21)
_Imsa_7840									0.20$^b$	0.50$^a$
									(0.10)	(0.12)
_Imsa_7880									0.17	0.55$^a$
									(0.14)	(0.15)
_Imsa_7920									0.30$^a$	0.35$^a$
									(0.11)	(0.10)
_Imsa_8003									0.12	0.80$^a$
									(0.12)	(0.23)
_Imsa_8050									0.19	0.56$^b$
									(0.17)	(0.22)
_Imsa_8120									0.37$^a$	0.0082
									(0.11)	(0.17)
_Imsa_8140									0.37$^a$	0.88$^b$
									(0.12)	(0.44)
_Imsa_8160									0.22$^c$	0.83$^a$
									(0.12)	(0.17)
_Imsa_8240									0.29$^a$	0.93$^a$
									(0.10)	(0.20)
_Imsa_8280									0.11	1.10$^a$
									(0.12)	(0.40)
_Imsa_8320									0.22$^c$	0.21
									(0.11)	(0.18)
_Imsa_8360									0.14	0.34
									(0.10)	(0.26)
_Imsa_8400									0.096	0.30$^b$
									(0.13)	(0.12)
_Imsa_8440									0.17	0.0014
									(0.13)	(0.21)
_Imsa_8520									0.35$^a$	0.49$^a$
									(0.13)	(0.15)
_Imsa_8560									0.021	0.36$^b$
									(0.12)	(0.14)
_Imsa_8600									0.31$^a$	0.69$^b$
									(0.11)	(0.28)
_Imsa_8640									0.16	0.032
									(0.12)	(0.18)
_Imsa_8680									0.23$^b$	0.40$^c$
									(0.11)	(0.23)
_Imsa_8800									0.20$^c$	0.43$^b$
									(0.11)	(0.20)
_Imsa_8872									0.15	0.096
									(0.10)	(0.41)
_Imsa_8920									0.64$^c$	0.63
									(0.34)	(0.40)
_Imsa_8960									0.19$^c$	0.33
									(0.10)	(0.24)
_Imsa_9000									0.021	-0.36$^b$
									(0.11)	(0.17)
_Imsa_9040									0.23$^b$	0.55$^a$
									(0.10)	(0.15)
_Imsa_9140									0.29$^b$	0.18
									(0.15)	(0.21)
_Imsa_9260									0.28$^b$	0.073
									(0.12)	(0.15)
_Imsa_9280									0.19$^c$	-0.75$^b$
									(0.11)	(0.32)
_Imsa_9320									-0.017	
									(0.13)	
_Imsa_9360									0.13	
									(0.11)	
Dl_pop		0.093	0.34$^b$	0.45	1.02$^b$	-0.16	1.14	1.50		0.62$^c$
		(0.18)	(0.16)	(0.32)	(0.45)	(0.29)	(0.72)	(1.45)		(0.37)
l_vmt			-0.046$^a$	-0.057$^a$	-0.13$^a$		-0.16$^a$	-0.11$^a$		
			(0.0060)	(0.0069)	(0.021)		(0.032)	(0.041)		
elevat_range_msa				0.040$^b$	0.0049		-0.0028	0.075		
				(0.018)	(0.020)		(0.022)	(0.059)		
ruggedness_msa				-0.74	0.10		-0.74	-1.07		
				(0.90)	(1.14)		(1.35)	(2.38)		
heating_dd				-0.0011	-0.000038		-0.00012	-0.00080		
				(0.0012)	(0.0013)		(0.0024)	(0.0022)		
cooling_dd				-0.0029	-0.0035		0.0028	-0.013		
				(0.0046)	(0.0045)		(0.0063)	(0.012)		
sprawl				-0.0023$^b$	-0.0011		0.00058	-0.0010		
				(0.00091)	(0.0010)		(0.0015)	(0.0019)		
div1				0.15$^b$	0.061		-0.057	0.19		
				(0.060)	(0.067)		(0.11)	(0.12)		
div2				0.12$^b$	0.00060		-0.082	0.22		
				(0.058)	(0.066)		(0.096)	(0.14)		
div3				0.12$^b$	0.051		-0.090	0.50$^a$		
				(0.063)	(0.067)		(0.10)	(0.17)		
div4				0.11$^c$	0.044		-0.044	0.27$^b$		
				(0.059)	(0.061)		(0.10)	(0.13)		
div5				0.14$^b$	0.098		-0.076	0.46$^a$		
				(0.059)	(0.068)		(0.076)	(0.16)		
div6				0.17$^a$	0.12$^c$		0.022	0.41$^b$		
				(0.064)	(0.067)		(0.085)	(0.18)		
div7				0.016	-0.0041		-0.19$^b$	0.34$^c$		
				(0.072)	(0.066)		(0.090)	(0.20)		
div8				0.0074	0.016		-0.017	0.060		
				(0.035)	(0.037)		(0.065)	(0.092)		
o.div9				-	-		-	-		
										
l_pop80					-0.041		-0.33	0.43		
					(0.23)		(0.49)	(0.40)		
l_pop70					0.16		0.63	-0.81$^b$		
					(0.22)		(0.45)	(0.36)		
l_pop60					0.00063		-0.24	0.18		
					(0.20)		(0.31)	(0.32)		
l_pop50					-0.077		-0.020	0.52		
					(0.11)		(0.24)	(0.34)		
l_pop40					0.083		0.067	-0.13		
					(0.12)		(0.28)	(0.28)		
l_pop30					-0.077		-0.068	-0.12		
					(0.12)		(0.25)	(0.21)		
l_pop20					0.059		0.078	0.075		
					(0.065)		(0.11)	(0.12)		
S_somecollege					-0.22		-0.17	0.081		-3.91$^a$
					(0.17)		(0.37)	(0.42)		(0.92)
l_mean_income					0.098		0.21	-0.26		3.98$^c$
					(0.12)		(0.22)	(0.23)		(2.16)
seg1980_ghetto					0.012		0.019	-0.045		-0.75$^a$
					(0.021)		(0.033)	(0.040)		(0.26)
S_poor					0.34		-0.087	0.19		0.25
					(0.21)		(0.33)	(0.62)		(0.52)
S_manuf					0.0081		-0.0096	-0.18		0.36
					(0.097)		(0.18)	(0.16)		(0.34)
o._Imsa_9320										-
										
o._Imsa_9360										-
										
Constant	0.42$^a$	0.41$^a$	1.07$^a$	1.30$^a$	0.062	0.43$^a$	-0.60	2.67	0.20$^b$	-38.1$^c$
	(0.013)	(0.022)	(0.090)	(0.17)	(1.09)	(0.037)	(2.11)	(2.25)	(0.10)	(21.2)
										
Observations	456	456	456	456	456	205	205	115	456	456
R-squared	0.87	0.87	0.89	0.90	0.90	0.90	0.94	0.57	0.93	0.94
Overid	267	181	173	50.7	38.9	148	33	10.1	187	163
Robust standard errors in parentheses										
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1										
