	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
div4		0.26	0.24	-0.13		0.68$^a$	0.66$^a$	0.29		0.53$^a$	0.33$^c$	0.58$^b$
		(0.21)	(0.23)	(0.31)		(0.22)	(0.23)	(0.36)		(0.20)	(0.20)	(0.27)
div5		0.21	0.21	-0.18		0.41$^c$	0.47$^c$	0.022		0.21	0.082	0.26
		(0.23)	(0.23)	(0.25)		(0.22)	(0.25)	(0.26)		(0.19)	(0.21)	(0.20)
div6		0.37	0.27	-0.025		0.62$^a$	0.57$^b$	0.23		0.51$^b$	0.26	0.53$^a$
		(0.23)	(0.23)	(0.25)		(0.22)	(0.26)	(0.25)		(0.20)	(0.23)	(0.20)
div7		0.56$^b$	0.35	0.17		0.62$^a$	0.47$^c$	0.23		0.30	0.039	0.33$^c$
		(0.23)	(0.23)	(0.24)		(0.23)	(0.26)	(0.25)		(0.20)	(0.22)	(0.20)
div8		0.29	0.20	-0.13		0.10	0.21	-0.30		-0.017	-0.18	-0.060
		(0.26)	(0.27)	(0.20)		(0.28)	(0.30)	(0.24)		(0.23)	(0.25)	(0.18)
div9		0.40	0.19			0.39	0.38			-0.034	-0.066	
		(0.29)	(0.32)			(0.32)	(0.32)			(0.24)	(0.26)	
div1				-0.34				-0.38				0.11
				(0.33)				(0.32)				(0.24)
o.div9				-				-				-
												
l_pop80							0.15				0.75	
							(0.72)				(0.64)	
l_pop90											-2.75$^a$	
											(0.97)	
Constant	-6.17$^a$	-6.09$^a$	-15.6$^a$	-5.46$^a$	-5.04$^a$	-4.75$^a$	-8.35	-4.18$^a$	-3.95$^a$	-3.76$^a$	-2.31	-2.82$^a$
	(0.39)	(1.01)	(5.55)	(0.94)	(0.44)	(1.19)	(6.71)	(1.33)	(0.31)	(0.91)	(4.57)	(1.00)
												
Observations	228	228	228	228	228	228	228	228	228	228	228	228
R-squared	0.83	0.85	0.88	0.85	0.80	0.83	0.87	0.83	0.85	0.88	0.91	0.87
Overid				0.52				0.24				0.20
First stage F				8.55				10.2				10
Robust standard errors in parentheses												
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1												
