div7		0.12	0.22	-0.086		0.016	-0.0081	-0.090		0.065	0.099	-0.00092
		(0.18)	(0.20)	(0.22)		(0.20)	(0.21)	(0.26)		(0.15)	(0.18)	(0.16)
div8		-0.044	-0.13	-0.30		0.0072	-0.14	-0.089		0.00019	-0.10	-0.075
		(0.15)	(0.15)	(0.23)		(0.15)	(0.15)	(0.22)		(0.13)	(0.14)	(0.17)
o.div9		-	-	-		-	-	-		-	-	-
												
Constant	3.90$^a$	5.03$^a$	4.36	6.95$^a$	4.42$^a$	5.51$^a$	8.76$^b$	10.6$^a$	4.58$^a$	5.65$^a$	9.71$^a$	6.96$^a$
	(0.57)	(0.74)	(4.14)	(2.46)	(0.53)	(0.72)	(3.98)	(3.80)	(0.53)	(0.74)	(3.46)	(1.69)
												
Observations	192	192	192	192	192	192	192	192	192	192	192	192
R-squared	0.96	0.97	0.97	0.96	0.97	0.97	0.98	0.94	0.97	0.98	0.98	0.97
Overid				0.79				0.97				0.93
First stage F				6.39				1.92				3.48
Robust standard errors in parentheses												
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1												
